ubigeo,dominio,trabaja,p506,tamanoemp,horas,ingreso,sexo,edad,edociv,educ,informal,anio,id,anoseduc,exp,exp2,sector
150108,8,1,7493,4,48,793,0,43,6,5,0,2023,68445,9,34,1156,13
150108,8,1,7493,4,44,1147,1,42,6,6,0,2023,68447,11,31,961,13
150108,8,1,5131,3,55,895,1,37,2,6,0,2023,68450,11,26,676,3
150119,8,1,2422,1,16,100,1,63,1,6,1,2023,68456,11,52,2704,3
150119,8,0,8021,5,0,2364,0,63,2,10,0,2023,68458,17,46,2116,1
150119,8,1,1320,1,40,2380,1,31,1,10,0,2023,68459,17,14,196,3
150119,8,1,1711,2,48,970,0,51,6,6,0,2023,68463,11,40,1600,3
150119,8,1,6302,1,48,870,1,20,1,6,0,2023,68464,11,9,81,1
150119,8,1,5520,1,24,160,0,41,6,8,1,2023,68466,15,26,676,3
150119,8,1,5239,1,48,895,0,19,1,9,1,2023,68468,16,3,9,3
150119,8,1,7511,5,40,1880,0,62,1,8,0,2023,68469,15,47,2209,3
150119,8,1,5211,2,24,205,1,23,1,9,1,2023,68470,16,7,49,3
